172.21.123.129/32,SG,,Singapore,
172.21.123.130/32,US,US-IA,Council Bluffs,
172.21.123.131/32,HK,,Hong Kong,
fd49:9166:6633:1::/64,SG,,Singapore,
fd49:9166:6633:2::/64,US,US-IA,Council Bluffs,
fd49:9166:6633:3::/64,HK,,Hong Kong,
fd49:9166:6633:cafe::/64,,,,
